1,11:24,16/5/2022,13.1,258.0
2,11:58,16/5/2022,13.1,253.8
3,17:15,16/5/2022,13.6,189.7
1,11:24,17/5/2022,12.8,180.8
2,11:58,17/5/2022,11.9,265.3
3,17:15,17/5/2022,13.1,164.8
1,11:24,18/5/2022,12.3,192.1
2,11:58,18/5/2022,12.3,244.1
3,17:15,18/5/2022,13.9,171.3
1,11:24,19/5/2022,11.1,204.5
2,11:58,19/5/2022,11.3,191.1
3,17:15,19/5/2022,12.4,231.0
1,11:24,20/5/2022,11.8,193.9
2,11:58,20/5/2022,12.0,241.0
3,17:15,20/5/2022,13.9,231.5
1,11:24,21/5/2022,11.5,241.4
2,11:58,21/5/2022,11.9,274.2
3,17:15,21/5/2022,11.2,220.5
1,11:24,22/5/2022,13.4,202.4
2,11:58,22/5/2022,13.8,248.4
3,17:15,22/5/2022,12.1,220.1
1,11:24,23/5/2022,12.1,212.8
2,11:58,23/5/2022,12.7,195.8
3,17:15,23/5/2022,13.6,268.6
1,11:24,24/5/2022,13.8,199.6
2,11:58,24/5/2022,11.8,231.7
3,17:15,24/5/2022,14.0,237.6
1,11:24,25/5/2022,13.5,261.2
2,11:58,25/5/2022,12.3,272.5
3,17:15,25/5/2022,12.4,222.7
1,11:24,26/5/2022,12.4,276.6
2,11:58,26/5/2022,12.1,242.0
3,17:15,26/5/2022,11.6,265.4
1,11:24,27/5/2022,13.9,257.2
2,11:58,27/5/2022,13.8,210.1
3,17:15,27/5/2022,13.8,265.1
1,11:24,28/5/2022,11.6,277.2
2,11:58,28/5/2022,13.2,248.9
3,17:15,28/5/2022,12.6,211.7
1,11:24,29/5/2022,13.5,203.7
2,11:58,29/5/2022,12.7,175.7
3,17:15,29/5/2022,12.1,263.8
1,11:24,30/5/2022,12.1,220.3
2,11:58,30/5/2022,11.6,207.6
3,17:15,30/5/2022,12.4,264.9
1,11:24,31/5/2022,11.1,198.5
2,11:58,31/5/2022,13.8,251.1
3,17:15,31/5/2022,13.0,260.6
