1,12:22,1/5/2022,28.2,23.5,20.9,41.86,36.03,40.63
2,12:53,1/5/2022,25.5,22.0,25.0,85.01,51.24,65.7
3,18:15,1/5/2022,29.6,26.0,23.4,57.88,31.99,94.55
1,12:22,2/5/2022,24.3,23.5,23.5,32.69,88.25,81.43
2,12:53,2/5/2022,26.7,23.3,25.7,49.29,34.82,33.44
3,18:15,2/5/2022,27.3,21.2,25.3,46.32,88.45,52.42
1,12:22,3/5/2022,24.2,24.8,18.8,25.91,48.56,88.21
2,12:53,3/5/2022,25.9,24.7,25.0,50.0,41.05,59.75
3,18:15,3/5/2022,27.2,26.0,21.6,72.54,46.28,89.58
1,12:22,4/5/2022,24.5,24.0,20.6,46.09,75.99,39.39
2,12:53,4/5/2022,26.8,20.2,22.1,61.0,85.94,54.67
3,18:15,4/5/2022,25.7,27.0,24.5,31.27,30.98,87.48
1,12:22,5/5/2022,25.7,22.9,22.9,75.55,59.93,76.26
2,12:53,5/5/2022,24.8,27.2,19.8,70.29,68.9,62.67
3,18:15,5/5/2022,27.1,27.3,23.5,78.76,39.3,50.15
1,12:22,6/5/2022,25.5,22.8,19.9,33.42,63.24,94.27
2,12:53,6/5/2022,28.2,26.0,24.0,41.72,26.02,61.55
3,18:15,6/5/2022,25.7,24.0,25.9,55.05,47.0,86.35
1,12:22,7/5/2022,27.8,21.6,23.0,89.03,68.32,38.43
2,12:53,7/5/2022,29.2,21.7,19.3,31.03,78.17,89.07
3,18:15,7/5/2022,25.6,21.1,19.5,67.05,41.85,79.54
1,12:22,8/5/2022,25.7,23.9,20.8,45.44,33.43,85.09
2,12:53,8/5/2022,27.7,25.8,26.0,43.14,67.85,70.75
3,18:15,8/5/2022,29.7,25.4,22.8,68.56,88.52,37.0
1,12:22,9/5/2022,24.6,25.8,22.7,41.21,45.17,71.96
2,12:53,9/5/2022,27.3,26.3,21.4,72.37,79.46,71.77
3,18:15,9/5/2022,25.4,21.6,20.4,25.31,46.95,48.28
1,12:22,10/5/2022,26.4,25.3,23.7,53.83,32.06,83.81
2,12:53,10/5/2022,28.9,26.8,21.0,82.28,62.28,97.93
3,18:15,10/5/2022,28.1,24.5,18.2,39.76,86.92,77.59
1,12:22,11/5/2022,24.1,20.9,21.4,61.59,83.17,33.1
2,12:53,11/5/2022,28.9,27.2,24.8,48.33,48.74,87.59
3,18:15,11/5/2022,29.5,21.7,21.8,77.62,71.5,44.89
1,12:22,12/5/2022,24.2,25.8,23.6,89.61,85.38,76.31
2,12:53,12/5/2022,25.0,27.5,23.2,67.86,25.19,62.79
3,18:15,12/5/2022,26.1,21.0,21.0,38.04,67.17,64.18
1,12:22,13/5/2022,25.7,27.1,23.6,25.6,55.58,78.74
2,12:53,13/5/2022,27.0,26.9,25.5,83.52,64.4,29.67
3,18:15,13/5/2022,29.4,26.0,21.7,32.85,70.82,51.12
1,12:22,14/5/2022,24.6,23.7,22.1,70.86,40.59,63.58
2,12:53,14/5/2022,25.7,26.5,20.4,77.94,68.63,58.47
3,18:15,14/5/2022,27.4,25.8,18.8,80.47,51.4,59.77
